property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Hotel,4,62,140429,1541.4,12,7992883.7,5534244.1,105.3,219.5,107.9,222.2
Office,4,75,1881319,18346.7,9.8,84953984.2,41766636.5,88.5,169.5,90,172.8
K-12 School,4,69,150000,339.3,6.5,1052673.7,3295800,83,122.3,87.4,126.9
Supermarket/Grocery Store,3,46,104000,1584.7,29.3,8478849.5,4921832.6,248.2,535.3,251.9,539.2
Multifamily Housing,4,82,81250,469.8,6.5,1562423.1,4253795.9,80.8,122.8,84.4,125.5
Multifamily Housing,4,92,288535,1103.5,5,4263649,8248096.4,56.5,93.1,58.3,94.9
Multifamily Housing,3,63,93960,477.4,5.4,1413403.9,4834511.6,71,102.7,73.8,105
K-12 School,4,91,84116,287.9,3.4,1010908.5,2449380,41.1,64.2,43.9,67.1
Multifamily Housing,4,97,314000,1314.6,4.7,4911168,10320226.1,54.2,87.5,56.5,89.6
Hotel,4,93,2295495,13218.8,6.5,50754797.4,99737806.5,74.4,122,76.9,124.7
K-12 School,3.5,54,110691,655.8,5.9,2671453.5,4498029.7,64.8,110.2,67.6,113.9
K-12 School,2,30,68005,521.8,7.7,2688278.2,1924759.9,67.8,140.4,72.7,149
Multifamily Housing,2.5,53,809005,4678,7.2,19985281.4,29349962.5,75.7,133.2,79.7,138.6
K-12 School,3,45,108716,743.8,6.8,2960821.7,5304000.2,76,127.5,82.3,137
Multifamily Housing,4,79,90140,613.6,6.8,1473997.6,7220577.3,96.5,129.9,100.8,133.7
Multifamily Housing,3,69,554648,2717.7,7.1,10328131,20819901,81.1,132.2,84.7,135.4
Multifamily Housing,4,94,59960,269.8,4.9,750049.7,2875736.9,65.4,92.3,69.9,97.1
K-12 School,2,22,85500,722.7,8.5,3362431,3725970.1,82.9,155.9,87.8,161
Multifamily Housing,2,19,597377,3399.1,8.8,18187731,10554205.5,74.1,159.9,76.4,163.6
Multifamily Housing,1,18,86222,937.4,10.9,5533097.1,1390332.6,80.3,196.6,84.3,205.5
K-12 School,3,48,101940,640.4,6.3,2079177.6,5946629.6,78.7,118.4,84.3,124.2
Office,4,99,112458,302.7,2.7,1356461.1,1713676.7,27.3,49.8,28.7,51.3
Multifamily Housing,1,11,322820,2236.5,10.1,5094886.3,27136950.6,146,193.6,155,203.1
Multifamily Housing,2.5,57,52400,305.7,5.8,746150.6,3562950.5,82.2,111.3,84.5,113.2
K-12 School,3,50,133238,829.3,6.2,3162841.2,6318939.5,71.2,116.3,78.8,124.3
K-12 School,4,83,121900,563.5,4.6,2174158.8,4221609.6,52.5,86.3,57.7,91.8
