property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Office,1,16,452360,1610.3,13.2,11472620.6,1866962.7,109,278.6,109,278.6
Multifamily Housing,4,98,176470,407.8,2.9,2087866.7,2500772.3,32.7,60.4,33.7,61.3
Multifamily Housing,1.5,31,59310,461.7,7.8,1703024.3,4468699.9,104.1,159.5,109,163.7
Multifamily Housing,1,24,70720,409.3,6.6,1049080.5,5104042.4,99.7,134.4,105.2,138.9
Multifamily Housing,4,83,358743,1634.2,4.9,6608102.4,14380518.3,62.3,99.8,64.6,100.8
K-12 School,1.5,37,256400,1889.2,7.4,9600900.6,11760750,83.3,153,85,154
Multifamily Housing,2,25,104980,832.4,9.3,2315123.4,9929730.6,136.8,189,144.6,195
Multifamily Housing,4,77,96737,406.3,5.7,1327156.6,4359200,79.3,115.6,82.5,119
K-12 School,3,64,70601,352.6,5,1277098,3471109.7,67.3,102.3,68.7,103.8
Hotel,2.5,54,83961,856.9,10.2,5396298.6,2751013.8,97,214.4,97,214.4
Multifamily Housing,1,22,128820,1153.4,9,6481427.2,5642077,94.1,186.9,94.7,185.4
Multifamily Housing,4,87,140184,503.6,3.6,1913715.3,4735298,47.4,73.7,48.3,73.8
Multifamily Housing,2.5,58,249910,1547.2,6.7,4689041.7,17500636.8,95.5,135.6,98.1,137.5
Multifamily Housing,1,30,1193156,7378.3,7.5,22152585.6,83978305.6,107.3,151.8,112.5,154.9
Multifamily Housing,2.5,52,81994,478.9,7,1288033.6,5822415.9,104.2,142.4,110.3,148.8
Office,2.5,59,1237300,10338.7,8.4,78452163.3,102384.4,63.5,177.6,63.9,178.8
Senior Living Community,2.5,34,100448,1104.3,12.3,3482235.7,12154826.1,174.1,250.7,177.5,251.1
Hospital (General Medical & Surgical),1,12,1596300,39602.7,24.8,170046861.2,323922552.7,309.4,511.3,312.3,510.6
Multifamily Housing,3,67,249582,1275.6,5.6,4172828.3,13668166.5,77.7,113.4,81.9,116.4
Multifamily Housing,4,85,91643,402.6,5.7,2143605.8,2264599.9,62.1,118.1,62,115.6
Office,3.5,74,1281114,8073,6.3,43415009.2,44331435.4,68.5,131.2,69.9,132.7
Multifamily Housing,2,24,68667,524.9,7.6,895242.2,7662373.3,124.6,153.7,133.4,162.8
Multifamily Housing,3.5,76,1361500,6187.9,5.6,21376257.2,63491478.9,76.5,114,80,116.7
Multifamily Housing,1,2,663464,6926,11.3,43299393.3,23022313.1,108.6,238.1,111.1,240.8
K-12 School,3.5,79,99710,424.2,4.3,1365130.9,4601870.1,59.8,86.8,61.5,87.8
Multifamily Housing,3.5,80,475020,2125.7,4.5,7571567.4,21244211.1,60.7,91.6,60.6,91.5
Multifamily Housing,4,92,155000,601.2,3.9,2192418.1,5881339.8,52.1,79.4,52.3,78.7
K-12 School,2,48,63257,382.7,6.1,1382736.9,3776730.4,81.6,123.9,84.7,127.7
K-12 School,1,24,81712,615.1,7.5,3057950.3,3997210.4,86.3,156.2,88.6,158.5
Multifamily Housing,4,89,63900,326.1,5.4,1152877.3,3280224.8,73.5,110.7,75.4,111.9
Multifamily Housing,3.5,76,294300,1259,4.3,7542549.8,4998481,42.6,89.6,43.1,90.9
Office,3.5,78,393838,3447.1,8.8,26171313.4,0,66.5,186.1,65.9,184.4
K-12 School,1.5,35,58224,373.4,6.4,1421575.7,3504259.8,84.6,131.6,87.2,134.3
Supermarket/Grocery Store,2.5,60,193862,2075.3,21.6,13297966.7,6096081.7,202.3,455.2,204,457
Office,4,80,165957,1337.7,8.1,10155815.1,0,61.2,171.3,61.5,172.2
Multifamily Housing,4,85,262881,1124.9,4.7,6474443.2,5123761.7,48.1,97.5,49.3,99.7
Retail Store,1.5,35,107122,1159.5,10.8,8172149.9,1565692.4,90.9,229,93.2,234.3
Multifamily Housing,4,88,79152,592,7.5,1464323.6,7513500.2,113.4,151.5,115.5,151.9
Multifamily Housing,4,94,288535,987,4.5,4236107.1,8077656.8,55.6,91.9,57.7,93.2
Multifamily Housing,3,63,147030,820.8,6,4545810.4,4180642.3,63.6,124.7,63.7,125.7
Multifamily Housing,3,47,379033,2070.2,7.4,8476166.3,17957563.7,94.6,152.4,98.9,155.1
Multifamily Housing,3,70,210619,1307.3,6.2,8374307.2,3845517.3,58,130.5,58,129.2
Senior Living Community,1,3,68280,826.6,16.2,2509354.1,9340469.8,232.3,330.1,238.6,334.4
Multifamily Housing,1,20,246000,1894.4,9.9,6371544.1,19865937.4,136.6,201.5,139.3,201.9
Office,3.5,75,58200,347.1,6,1641381.8,2465232.2,70.6,123.4,73.2,126.2
Multifamily Housing,4,95,85000,366.8,4.3,1065307.3,4263280.3,62.7,87.8,66.6,92.1
Multifamily Housing,1,1,59667,979.4,16.4,543429,17092133.1,295.6,326.3,317,348.8
K-12 School,3.5,73,110443,511.5,4.6,1591742.3,5682039.5,65.9,94.4,68.3,96.9
Multifamily Housing,4,99,51576,146,2.8,639573,1163073.6,35,58.4,35,57.6
Multifamily Housing,2.5,52,88000,430.2,4.9,2001315.2,3136793.1,58.4,101.1,58.9,99.3
Multifamily Housing,4,99,104796,328.6,3.8,1593052.3,2236680,43.9,78.1,45.3,78.8
Multifamily Housing,4,96,138110,447.8,4.3,1486312.4,4744634.4,60.5,88.8,62.2,90.6
Multifamily Housing,4,95,76732,224.3,4.1,1006438.1,1727168.5,49.9,84.6,49.1,82.3
Multifamily Housing,3,61,151284,796.3,5.8,3896293.3,5329780.8,67.1,120,67.2,118
Multifamily Housing,2.5,52,135000,844.3,7,5234692.2,2914558,67.8,147.5,68.2,146.9
Multifamily Housing,4,98,951100,2867.5,3.8,11331537,25887303.8,49.7,78.6,50.3,78.1
Multifamily Housing,3,63,134308,837.9,6.2,4429957.8,4790322.4,68.7,129.8,69.1,128.9
Multifamily Housing,1.5,34,65291,577.1,8.9,1375288.5,7453809.6,136.9,181.1,144.5,188.2
Multifamily Housing,3.5,73,660218,3012.3,5.2,16499494.6,15797884.6,55.8,108.6,56.5,108.5
Multifamily Housing,4,85,69905,356.5,5.1,2022050.2,1698007,53.2,106.5,54.2,107.7
K-12 School,1,18,70786,604.1,8.5,1486850.7,7686390.1,129.6,172.8,135.6,177.6
Multifamily Housing,2,44,329084,1906.3,6.9,7049853.3,18407157.8,92.6,142.2,94.6,141.8
Multifamily Housing,4,98,53903,146.8,2.7,639848.7,1176924.6,33.7,56.2,33.8,55.2
Office,2.5,56,59741,555.7,9.3,1450444.6,0,119.3,177.9,120.3,179.3
Supermarket/Grocery Store,1.5,37,61567,1739,28.2,9058190.8,10277600,314.1,587.2,321.2,590.8
Multifamily Housing,4,86,121000,538.4,4.4,1344698.2,6801148.9,67.3,90.1,71.6,93.9
Multifamily Housing,1.5,36,810159,5101.9,7.1,15458505.9,57719447.3,102,144.8,104.3,146
Multifamily Housing,2,49,62352,400.8,6.4,570812.9,6130700,107.5,128.9,113.6,134.5
Hospital (General Medical & Surgical),3.5,54,362866,3652.2,18.6,14948511,31691002.4,237.4,382.4,235.4,377
Multifamily Housing,4,87,57125,382.3,6.7,2309668.9,1470668.4,66.2,140.2,67.3,142.5
Multifamily Housing,4,85,345675,1477.9,4.7,9558815.4,4120248.8,43.7,99.3,44.2,99.3
Multifamily Housing,4,92,96000,325.5,3.4,341019.2,5283299.8,58.6,67.7,61.2,70.2
Multifamily Housing,3,69,541521,2447.9,5.3,10334523.8,20458852.7,66.3,108.6,68.7,109.3
Multifamily Housing,4,99,1193624,3509.4,3.5,17463920.3,22765478.1,40.5,73.3,40.9,73
Multifamily Housing,4,84,67854,325.2,5.3,1521297.6,2350155.6,63.5,110.4,64.5,109.1
Office,3,66,77000,538.7,7,3571657.9,1284785.7,63.1,147.4,64.7,150.2
Office,3,69,2493160,14702.6,5.9,62343953.8,62459533.1,74.2,118.3,72.1,116.5
Multifamily Housing,1,29,151865,1083.8,7.1,6874564,3356759.2,67.4,150,68.8,152.5
K-12 School,2,42,185689,1277.8,6.9,5685303,9959090,84.3,142,86.3,144.2
Multifamily Housing,4,81,274691,1122.7,4.9,6738800.8,4425906.3,48.5,102.2,47.5,99.4
Multifamily Housing,3.5,80,72149,360.3,5.9,2502074.2,578561.4,50.2,124,49.8,122.2
Multifamily Housing,3,65,235600,1404.4,6.5,4716463.8,14745701.7,89.4,131.8,92.2,133.1
Multifamily Housing,2.5,59,186552,951.2,6.1,2629635.4,11388087.2,90,124,93.4,126.7
Office,2,43,102535,1084.2,10.6,8231196,0,80.3,224.8,81.2,227.5
Multifamily Housing,3.5,78,133953,655.6,5.3,1577663.7,8430210.2,80.7,107.1,85.1,110.8
K-12 School,3.5,77,319900,1514.6,4.7,5265554.6,15457661.6,64.8,96.8,67.5,99.7
Multifamily Housing,2,29,73600,622.2,8.5,1834254.5,7165300.3,122.3,172,126.8,175.7
Multifamily Housing,3,70,95110,579.4,6.1,3372012.8,2547094.3,62.2,127.4,62.6,126.7
K-12 School,2.5,57,234393,1421.1,6.1,4020721,16785061.2,88.8,123.2,90.2,124.7
K-12 School,1.5,35,57432,375.6,6.5,1409295.9,3576280.1,86.8,134.1,91.2,137.9
Multifamily Housing,4,71,489845,2312.5,4.7,11782292.6,14319381.9,53.3,98,54.3,99.8
Office,2,48,86000,733,8.5,3566112,4957221.3,99.1,176.6,102.7,178.1
Multifamily Housing,2,42,260000,2008.5,8,4973058.8,25482796.5,121.8,162.7,128.5,168.9
Multifamily Housing,4,97,80000,270.9,4,1011423.8,2591778.7,53,81.7,53.6,81
Multifamily Housing,1,5,52240,510.3,9.8,2488399.3,3436200.1,113.6,202.7,117,202.8
Multifamily Housing,1,1,76048,914.2,15.6,3461120.2,8628557.6,205.9,319.3,215.8,325.3
K-12 School,1,2,73350,944.7,12.9,2548460.4,11465600.1,191.1,261.4,202.1,271.5
Multifamily Housing,3,69,118890,753.3,6.3,1859809.5,9570482.9,96.1,128.3,100.4,132.8
Multifamily Housing,4,95,526100,1823,4.5,6454865.7,18315330.1,61.7,92.9,65,95.8
Multifamily Housing,1.5,40,67133,477.2,7.1,987604.1,6534901.5,112.1,143.4,117.4,148.2
Multifamily Housing,4,88,255892,1457,5.7,5988960.9,12579619.8,72.6,117.1,73.3,116.4
Multifamily Housing,2.5,51,51628,384.9,7.5,1981285.4,2333524.1,83.6,154.9,83,152.4
Multifamily Housing,1.5,39,381974,1711.6,5.2,8657032.6,10757391.8,59.5,109,61.1,109.4
K-12 School,4,84,98019,390.9,4,700664.5,5621150,64.5,80.2,68.7,84.7
Hotel,3.5,75,421989,3369.8,8,18072611.1,18628039.1,87,166.3,86.4,163.6
Multifamily Housing,1.5,38,68271,525.4,7.7,1632431.9,5844374,109.5,156.8,112.2,157.4
Multifamily Housing,1.5,39,77310,466.6,6.5,1178097.2,5862769.3,98.7,132.6,101.4,133.2
K-12 School,3.5,75,109910,430.6,5.7,2045443.6,3034768.4,68.9,120.1,71.2,121.4
K-12 School,1,29,100107,699.7,7,4186599.1,2790520.1,69.7,146.4,70.3,147
Senior Living Community,2.5,60,76000,483.7,6.4,1840258.7,4543900,84,130.6,87.7,133.3
K-12 School,2.5,40,141329,925,6.5,3950788.8,7618080,81.9,134.9,86.1,140.1
Multifamily Housing,4,89,51000,214.3,4.2,52612.4,3896440.1,77.4,83.1,83.7,89.6
Multifamily Housing,1,30,811703,4512.5,7.7,20427260.7,34301124.8,93.9,159.9,98.3,163.6
Multifamily Housing,2,42,514099,3035.5,7,11388136.6,28909297.4,92.8,143.3,96.8,145.1
Multifamily Housing,1,25,68500,443.8,6.5,1978286.3,3448942.8,84.3,138.8,85.2,136.7
Office,4,86,162836,578.1,5.2,3019671.1,3395444.2,58.2,109.1,59.2,108.6
K-12 School,2.5,51,78340,428.7,5.5,2102679.1,2856280.1,63.3,113.4,64.8,115
Hotel,1,28,710000,8062.3,11.5,55854108.6,13283450.4,98.8,243.3,98.7,243.1
Multifamily Housing,2.5,54,270000,1434.2,5.7,7944233.6,7302259.1,61,119.6,61.9,119.2
Retail Store,1,26,52424,1292.2,24.6,8012164.6,4459611.7,237.9,517.3,239.3,513.8
Office,1,28,259000,2618.8,10.1,13373517.8,16141418.9,114,210,116.8,210.8
Multifamily Housing,4,100,285767,492.8,1.7,2881019.3,2133587,17.5,36.1,17.5,35.5
Multifamily Housing,4,87,63968,202.9,3.9,1540550.6,0,29.9,83.8,30.6,85.6
Multifamily Housing,1.5,40,95888,694.3,7.2,1287410,9879130.2,116.5,145.8,121.9,151.5
Multifamily Housing,3,47,399124,1962.2,6.5,7194877.8,19099998.6,87.4,133.7,89.3,134.2
Multifamily Housing,2.5,33,354934,2100.5,8.1,5796935.4,25171726.2,119.1,164,126,170.4
Multifamily Housing,2.5,52,193648,947.4,5.9,5005741.7,5423962.1,65.2,123.2,66.8,124.9
K-12 School,1,7,85400,745.4,11.8,4064150.1,3328539.7,117.3,236.1,120.4,239.3
Retail Store,4,92,130000,489.9,3.8,3292914.2,1057300,33.5,79.5,35.2,83.4
Multifamily Housing,4,96,52272,182.5,3.5,342734.2,2585725.4,56,70.3,59.9,73.9
Multifamily Housing,4,100,67147,191.4,2.9,1450571.6,7284.6,21.7,60.6,21.1,58.9
K-12 School,3,67,60474,301.5,5,695539.6,3951219.9,76.8,100.8,80.1,104.2
Office,3,70,214800,1309.3,6.1,6730204.2,7961247.1,68.4,126.6,70.1,128.4
K-12 School,2.5,53,117660,645,5.5,2812805.1,5167709.9,67.8,113.1,69.6,114.5
Multifamily Housing,4,81,199011,927.2,4.7,5539630.3,3719246,46.5,97.6,46,96.2
K-12 School,1,9,209971,2238.1,10.7,10899685,15108170.3,123.9,220.9,127.1,224.9
Multifamily Housing,4,88,76037,330.1,5.2,1406942.7,2726184.5,64.8,106.6,64.9,104.9
Medical Office,4,98,484901,3283,9.5,15808358.7,22607437.2,111.3,197,111.5,195.3
Office,3,66,112671,812.8,7.2,4357205.6,4497950.1,78.6,150.2,81.2,151.8
Office,3.5,71,2344223.6,14619.5,6.5,110210353.6,1944076.1,50,138.4,50.4,139.7
Office,1.5,33,517115,5746,11.1,43606254,45637.3,84.4,236.2,85.7,239.8
Multifamily Housing,4,100,744162,818.5,1.1,3133998.2,7637909.8,14.5,22.6,14.3,22.2
Multifamily Housing,4,88,850000,3502.8,4.5,11417200.9,37634384.7,62.3,90.8,65.8,93.4
K-12 School,2,28,59692,446.2,7.5,1176566.8,5482420.1,111.6,151.6,117,157.4
Multifamily Housing,1,14,91577,551.7,7,2216814.2,4889088.6,89.9,143.5,90.7,143.8
Multifamily Housing,3.5,60,489535,2730.7,6.3,9692386.8,27375899.7,84.9,128,89.5,131.9
Multifamily Housing,1,15,149551,1180.6,9.4,3090662,14562770.9,140.3,190.3,145.7,193.5
Multifamily Housing,4,92,56922,209.4,3.7,772328.6,2026760.3,49.2,75.4,49.8,74.9
Multifamily Housing,4,85,96400,440,4.6,1834065.9,3735460.6,57.8,94,58,92.4
Multifamily Housing,4,92,61200,222.5,3.6,525144.4,2887676.9,55.8,73.6,57.8,75
Senior Living Community,3,43,60000,456.3,7.6,1586627.8,4656200.2,104,155.5,108.1,158
Office,3.5,76,52284,275.6,5.3,1089961.1,2485105.6,68.4,108.3,69.1,106.4
Multifamily Housing,1,17,59310,529.3,8.9,1713153,5716948.6,125.3,182.1,131.5,188.6
Multifamily Housing,1,19,145000,1048.7,7.2,6352154.5,3992473.6,71.3,151.6,73.2,154.6
Multifamily Housing,4,98,134153,323.9,2.8,830542.5,4038438.6,42.7,57.5,43.8,58.1
K-12 School,4,82,171400,786,4.6,2607996.3,8330829.8,63.8,93.6,65.8,95.3
Office,2,48,57400,392.2,6.8,2615579.9,897162.5,61.2,144,62.5,145.4
Multifamily Housing,4,82,83764,420.9,5,3090733.9,259372.8,40,106.6,41,109.2
K-12 School,1,14,89103,788.4,8.8,3957476.2,5030369.9,100.9,183.6,103.6,186.5
Office,3.5,78,1075664,6608.1,6.5,50156328.2,0,49.5,138.7,50.1,140.2
Office,3,63,233373,1832.2,7.9,13910447.7,0,59.6,166.9,58.9,164.9
Multifamily Housing,1,20,597377,3099.9,8,18620563,12187794.2,79.4,167.4,79.9,166.5
Multifamily Housing,3,63,100911,708.9,7,2041859.9,8282279.7,102.3,142.8,107.9,148.7
Multifamily Housing,3.5,75,121897,501.8,5.4,2264571.3,3831915.3,66,112.2,68.6,114.9
Multifamily Housing,4,83,169050,962.5,6,3037767.1,10588780.1,85.6,123.2,89.1,125.2
Multifamily Housing,1,29,147424,1169.9,7.9,4344188.5,11253270.8,105.8,162.7,108.4,161.4
Multifamily Housing,1,1,107500,1773.7,16.5,956776.3,31021704.4,297.5,327.9,315.7,346.3
Office,3,69,692429,4364.9,6.5,20192260.7,21834272.4,78,132.3,77.6,132.3
Office,4,98,140000,358,2.6,1602201.8,2767100,31.2,52.8,31.5,52
Senior Living Community,2,47,93678,591,6.3,3319592.4,2895700,66.3,131.7,67.1,131.8
Office,3.5,59,126727,740.2,7.1,3685264.1,4797582.8,81,146.7,82.6,148.4
Multifamily Housing,2.5,58,103000,625.9,6.1,358680.3,10895100.1,109.3,120.8,115.3,127.2
Supermarket/Grocery Store,3.5,54,70262,1503.1,21.4,10201542.3,3001299.8,187.9,451.4,188.7,449.3
K-12 School,1.5,39,76476,492.2,6.4,2068026.8,4138690,81.2,132.5,82.5,133.5
K-12 School,1,24,76800,589.4,7.7,3065555.7,3494549.9,85.4,159.5,88.5,164.9
Supermarket/Grocery Store,1.5,35,55883,1669.5,29.9,9448547.9,8000800.4,312.2,623.7,316.4,623
Office,4,82,2453127,9968.7,4.1,34877258.5,82542498,55.5,82.1,56.6,83.4
K-12 School,2,46,145775,877.3,6,3094960.4,8841690.2,81.9,123.1,83.6,124.9
K-12 School,2,47,108624,652.1,6,3617845.9,3306469.8,63.7,125.2,64.5,123.8
Multifamily Housing,4,68,252794,1271.5,5.4,3773127,14581717.2,78.4,110.5,82.6,114.3
Hotel,2.5,58,949542,8723.1,9.2,41423282.1,61510001.5,108.4,190.2,108.2,186.9
Office,3.5,60,198650,1683.1,8.5,11512620.1,0,73.9,176.8,72.9,179.7
Multifamily Housing,3.5,73,65419,447.6,6.8,1329027.6,5131436.2,98.8,139.2,100.9,140.6
Multifamily Housing,2.5,37,66500,428,7.1,1464661.1,4199315.2,93.6,140.7,91.7,135.3
Multifamily Housing,4,86,114602,404.1,4.8,1643468.3,3533196.3,61.1,98.1,63.6,99.6
Multifamily Housing,3,67,104400,761.4,7.3,2134811.5,9040470.2,107,148.2,110.8,150.2
Multifamily Housing,2,45,892791,5047.4,6.9,18780656.7,48454906.2,91.6,140.9,95.9,143.7
Multifamily Housing,4,100,306951,555.3,1.8,1971693.3,5565082.7,24.6,37,25.2,37.3
Multifamily Housing,4,89,103635,470.4,4.5,1159264.8,5982092.9,68.9,91.9,70.5,92.9
Office,4,85,3135770,14830.4,5,112463085.5,327886.4,38,106.2,38,106.2
Multifamily Housing,2,27,312000,1906,6.1,7661667.7,16885579.4,78.7,125.6,79.8,125.3
Multifamily Housing,3,63,140841,785.1,5.6,1725588.3,10502899.9,86.8,112.6,90.5,116.1
Multifamily Housing,3,64,198033,831.7,5.7,3444392.8,7116726.4,72.5,117.5,74.2,118.1
K-12 School,1,30,62043,421.1,6.8,1766890.5,3546769.8,85.6,139.8,87.1,140.9
Multifamily Housing,4,100,1135720,2864.5,3.4,12898875.7,21943686.4,41.9,71.2,43.1,71.3
Multifamily Housing,2.5,59,58656,283.5,4.8,426759.5,4278727.7,80.2,97,84.1,100.3
Multifamily Housing,3.5,74,59712,315.7,5.3,1467191.7,2305011.4,63.2,109.3,63.2,108.5
Multifamily Housing,3.5,71,77900,418.6,5.7,1293668.6,4673532.5,81.7,116.8,85,119.4
Multifamily Housing,4,88,81561,484.4,5.9,747919,2602,80.4,111.4,86.3,118.7
Multifamily Housing,1,1,48321,531.8,11,616338.1,8483172.9,188.3,220.1,187.7,218.2
K-12 School,3.5,72,341821,1776.8,5.2,5397142.6,20068258.7,74.5,105.9,77,108.5
K-12 School,2,47,169900,1009.1,5.9,4040350.3,8978279.5,76.6,122.1,77.6,123.1
Multifamily Housing,4,96,51776,165.6,3.2,518660.3,1830896.8,45.4,65.2,46.1,65
Multifamily Housing,1,25,152588,1184.8,8.7,5210894.6,9383488.2,106.9,179.1,109.3,179.3
Multifamily Housing,4,77,501709,2071.1,5.1,10127492.2,13878758.3,59.3,106,60.2,105.4
K-12 School,1.5,32,108534,762.4,7,3939488,4584910.3,78.5,146,79.9,145.1
Office,1.5,40,61971,579.2,9.3,1922041,6139200.2,130.1,190.9,131.3,191.8
Multifamily Housing,4,94,79250,555,7,2728578.8,3681903.7,80.9,145.2,81.7,145.4
Office,3.5,78,698645,4216.9,6,32015743.2,0,45.8,128.3,46.6,130.4
K-12 School,1,9,85500,809.6,9.5,3383608.5,6850980.1,119.7,194.9,123.4,198.8
Hotel,2.5,58,300000,2637.5,8.8,11399812.7,21388101,109.3,181.3,112.4,184.5
Multifamily Housing,2.5,59,154580,892.4,6,2322698.5,11040889,90.5,122.5,96,127.2
Office,2,45,222125,2166.7,9.8,12138101.9,10692048.6,102.8,203.5,102.7,199.8
Multifamily Housing,2.5,53,95465,559.3,6.7,1727981.3,6245186,95.1,135.9,99.4,138.9
Multifamily Housing,2.5,37,706989,5824.7,8.2,20053715.6,54670459.8,108.7,163.6,112.6,166.5
Multifamily Housing,3,70,90140,641.4,7.1,1601707.1,8103963.7,107.7,144.2,113.6,148.4
Multifamily Housing,4,97,93255,296.7,3.8,1327564.3,2293109.9,46,77.9,46.1,77
K-12 School,2.5,51,111599,605.4,5.4,2178729.2,5995549.5,73.2,111.1,74.3,112.2
Multifamily Housing,1.5,32,127828,794.2,7.7,2893612.4,7776143.1,102.9,156.9,106.2,159.1
Multifamily Housing,1,29,234695,1619.3,6.9,3957063.7,20673287.3,104.9,139.7,111.2,145.5
Office,3.5,76,1513050,8737.5,5.9,65755319.9,1441607.8,45.2,124.8,45.9,126.8
Multifamily Housing,1.5,31,66762,429.2,6.8,1135110.2,5264919,102,138.7,106.3,141.8
K-12 School,2,50,101993,558.6,5.5,2321333.7,4759700,69.4,112.7,70.9,114.2
Hotel,1,9,160000,2162.2,13.5,12322018.8,10152200.1,140.5,282.3,141.4,282.3
Multifamily Housing,1.5,32,87455,553.5,6.3,2164090.6,5054384,82.5,130,82.4,128.7
Multifamily Housing,4,99,384896,1153.6,3.8,5578907,7884801.3,44.4,78.9,43.5,76.2
Medical Office,4,98,212511,1127.9,5.3,8563072.2,0,40.3,112.8,40.3,112.8
Office,3.5,79,1863650,9342.2,5.2,43859689.6,38569597.3,61.5,104.7,61.1,104.6
Worship Facility,4,85,71539,84.2,1.7,251443,961546.6,24.8,35.1,25.7,36
Office,3,62,72340,540.2,7.5,2717142.8,3433310,85,155,87.9,157
Multifamily Housing,3,64,295234,1558.9,6,4516097.2,18151009.4,86.8,121.4,92.7,127.6
Office,1,12,215871,3489,16.2,22009581.9,11108378.7,153.4,339.5,154.1,338.1
K-12 School,3.5,72,435758,1431.4,5.2,4795453.8,15057100.1,71.8,105.8,74.1,108.1
Multifamily Housing,3,65,462099,2067.3,5.2,11578679.9,10209359.2,55.3,109.5,55.9,108.8
Senior Living Community,4,100,1742595,2440,1.4,8812251.1,24085100.8,18.9,28.7,19.5,29
Multifamily Housing,4,82,164485,876.1,5.3,1981904.6,11579230.8,82.4,107.7,87.3,111
Multifamily Housing,4,68,91524,552.4,6,1598148.8,6437534.5,87.8,122.7,91,124.7
Office,3,50,127872,1289.4,10.1,6735186.5,7572855,111.9,209.7,112.3,206.2
Office,3.5,77,1797097,11761.8,7,89020096.1,688501.6,53.2,148.1,53.6,149.5
Multifamily Housing,4,100,157420,342.9,2.6,1032760.7,3893875.2,36.8,52.1,37.4,52
Multifamily Housing,4,93,195630,247,5.7,1561509.7,777523.6,53.7,119.2,54.2,119.4
Office,2.5,32,65363,611.1,9.3,3883035.3,1876277,88.1,196.5,90.5,201.3
K-12 School,3.5,72,69480,328.7,4.7,167781.7,5772519.9,85.5,94,87.2,95.8
K-12 School,2.5,54,68612,376.7,5.5,1886467.5,2414890,62.7,113.9,63.5,114.4
Multifamily Housing,1,17,94952,979.5,10.3,5430221.9,4974549.5,109.6,215.1,110.2,213.2
Multifamily Housing,4,90,103691,415.6,4,1938741.5,3016062.6,47.8,82.9,49.1,84.3
Multifamily Housing,4,86,76600,364.2,5.9,1918890.2,2097451.8,65.5,123.6,66.3,124.7
K-12 School,1.5,33,80028,554,6.9,2766470.2,3570099.9,79.2,143.6,81.7,147.1
Multifamily Housing,1,25,511146,3407.5,7,24794260.4,2668831.2,56,147.4,56.8,149.3
Multifamily Housing,4,94,146667,418.2,3.8,1536311.3,4063780.8,50.9,77.9,52.4,79.4
Multifamily Housing,4,97,312210,1345.2,4.3,5745085.8,11080139.8,53.9,88.8,55.6,89.7
Hospital (General Medical & Surgical),2,43,981153,15171.8,21.8,70160661.6,111657822.3,260.7,449.8,260.6,443.9
K-12 School,2.5,58,101364,554,5.5,1699565,6215469.9,78.1,111.3,82.6,116.3
Multifamily Housing,4,90,150863,697.3,4.6,2857781.9,6040626.1,59,95.1,58.7,93.8
Multifamily Housing,4,83,59040,270.5,4.6,1044701.2,2501798.6,60.1,94,60.8,93.7
Multifamily Housing,1,25,313167,2558.7,8.2,3927769.5,38432204.2,135.3,164,141.9,170.8
Multifamily Housing,1,11,322820,2180.6,9.9,4770518.4,29224706.4,153.9,199.5,160.1,204.7
Multifamily Housing,4,100,164122,394.6,2.4,2966560,72631.6,18.5,51.1,17.9,49.3
Hotel,1.5,38,390430,3093.3,7.9,14018280.8,23476086.5,96,163.7,95.4,163
Multifamily Housing,1,22,262020,2131.2,9,10163907.5,14919692.8,105.8,186.2,108.6,187.1
Multifamily Housing,1,28,230250,1624.3,9.2,4577402.5,19229591,135.3,187.6,143.7,196.4
Retail Store,3,66,408694,1427.1,8.9,8180055.4,6584200.3,92.2,186.2,93.8,186.4
Multifamily Housing,1,29,202904,1356.5,6.7,5945526.8,10796139.7,82.5,137.9,83.2,135.9
Multifamily Housing,4,96,70292,249.3,3.5,1125101.1,1904358.6,43.1,73.3,44.8,75.2
Mixed Use Property,4,87,596696,2196,5.3,11339451.4,13224519,59.1,109.7,61.7,112.5
Multifamily Housing,4,94,84151,264.6,3.4,986873.6,2534938,45.1,69.4,45.6,69.1
Multifamily Housing,4,97,97000,353.5,4.4,1479810.5,2985967.9,55.8,91,56.7,91.4
Supermarket/Grocery Store,1.5,37,55024,1682.9,30.6,8921833.6,9560500.2,335.9,636.4,346.5,643.5
Office,1.5,31,411500,5045.1,12.3,24141084.6,35119900.6,144,253.9,146.5,253.9
Multifamily Housing,4,88,184432,724.5,4.5,2206208,8169833.2,63.9,90.9,67.4,93.3
Multifamily Housing,2.5,52,78585,511.4,6.5,2038457.3,4574112.9,84.1,133.7,87.9,137.7
Office,4,81,1559966,8001.6,6.9,60749467.3,0,52.7,147.5,53.3,149.4
Multifamily Housing,2,41,83283,424.7,6.4,1636077.7,3938198.2,84.5,132.1,85.3,130.6
K-12 School,1,10,303310,3136.7,10.3,19869648.2,9782690,97.8,217.3,99.2,218.7
K-12 School,2.5,52,218200,1411.3,6.5,4147514.9,16286199.5,93.6,131.6,98.4,136.5
K-12 School,4,88,132816,481.3,3.6,1478167.1,5395310.1,51.8,73.8,55.2,77.4
Multifamily Housing,3,49,122332,667.5,6.5,1604995.5,8586799.2,99.4,131.7,103.3,135.9
Multifamily Housing,3.5,77,254138,1079.8,4.8,3987038.9,10442423,64.8,99.3,65.6,98.5
K-12 School,4,65,111681,527.3,4.7,1610614.1,5933770.1,67.6,96.2,70.3,99.1
